chr	pos_ini	pos_fin	GENE
22	26879849	26887904	SRRD
22	26887893	26908437	TFIP11
22	26921713	26986089	TPST2
22	26951177	26951289	MIR548J
22	26995361	27013991	CRYBB1
22	27017927	27026636	CRYBA4
22	27053445	27072440	MIAT
22	27068805	27176856	LOC102724827
22	27299254	27316573	LOC101929539
22	28144264	28197486	MN1
22	28247656	28315294	PITPNB
22	28315363	28398667	TTC28-AS1
22	28316512	28316600	MIR3199-1
22	28316513	28316599	MIR3199-2
22	28374001	29075853	TTC28
22	28855856	28855936	MIR5739
22	29083730	29137822	CHEK2
22	29138042	29153496	HSCB
22	29168661	29185289	CCDC117
22	29190547	29196560	XBP1
22	29279754	29453476	ZNRF3
22	29420986	29427464	ZNRF3-AS1
22	29454659	29457907	C22orf31
22	29469065	29564321	KREMEN1
22	29601900	29655586	EMID1
22	29655843	29663914	RHBDD3
22	29663997	29696515	EWSR1
22	29702984	29708778	GAS2L1
22	29708921	29711745	RASL10A
22	29723668	29784572	AP1B1
22	29729146	29729256	MIR3653
22	29729151	29729247	SNORD125
22	29833003	29838118	RFPL1S
22	29834571	29838444	RFPL1
22	29876180	29887277	NEFH
22	29904155	29949736	THOC5
22	29950797	29977326	NIPSNAP1
22	29999544	30094589	NF2
22	30116343	30127820	CABP7
22	30126944	30162969	ZMAT5
22	30163357	30166402	UQCR10
22	30184596	30234293	ASCC2
22	30279157	30426857	MTMR3
22	30403037	30403102	MIR6818
22	30404730	30476469	LOC101929664
22	30476452	30573062	HORMAD2
22	30636435	30642840	LIF
22	30658818	30662829	OSM
22	30681106	30685616	GATSL3
22	30687978	30722955	TBC1D10A
22	30727976	30752913	SF3A1
22	30752626	30772818	CCDC157
22	30764799	30773894	KIAA1656
22	30774802	30783302	RNF215
22	30792929	30821291	SEC14L2
22	30821610	30825041	MTFP1
22	30855215	30868034	SEC14L3
22	30877276	30877743	SDC4P
22	30884897	30901698	SEC14L4
22	30920916	30942669	SEC14L6
22	30950623	30960876	GAL3ST1
22	30972611	31003000	PES1
22	31003069	31023047	TCN2
22	31031792	31043862	SLC35E4
22	31058038	31063872	DUSP18
22	31089768	31303811	OSBP2
22	31127543	31127628	MIR3200
22	31318294	31322640	MORC2-AS1
22	31322599	31364187	MORC2
22	31365196	31375380	TUG1
22	31477281	31500610	SMTN
22	31500762	31503551	SELM
22	31518908	31530683	INPP5J
22	31530792	31536593	PLA2G3
22	31556047	31556105	MIR3928
22	31556137	31603005	RNF185
22	31608249	31676066	LIMK2
22	31677578	31688520	PIK3IP1
22	31721789	31742249	PATZ1
22	31731334	31734007	LOC101929760
22	31742744	31747141	LOC54944
22	31795538	31830172	DRG1
22	31835344	31885874	EIF4ENIF1
22	31892124	32014537	SFI1
22	32014476	32026810	PISD
22	32017452	32017517	MIR7109
22	32077333	32146120	PRR14L
22	32149936	32303020	DEPDC5
22	32329506	32341336	C22orf24
22	32340478	32353590	YWHAH
22	32439018	32509011	SLC5A1
22	32517963	32529456	AP1B1P1
22	32545518	32555243	C22orf42
22	32586421	32600718	RFPL2
22	32614462	32651318	SLC5A4
22	32750871	32757148	RFPL3
22	32755892	32767251	RFPL3S
22	32772650	32780329	LOC339666
22	32783561	32808274	RTCB
22	32809833	32853373	BPIFC
22	32870706	32894818	FBXO7
22	32908539	33454377	SYN3
22	33196801	33259028	TIMP3
22	33669061	34316416	LARGE
22	33832567	33832655	MIR4764
22	34120971	34146803	LARGE-AS1
22	35462129	35483380	ISX
22	35653444	35691800	HMGXB4
22	35695267	35743987	TOM1
22	35731632	35731751	MIR3909
22	35732713	35732792	MIR6069
22	35777059	35790207	HMOX1
22	35796115	35820495	MCM5
22	35937351	35950045	RASD2
22	36002810	36019401	MB
22	36044423	36064456	APOL6
22	36113918	36125529	APOL5
22	36134782	36424585	RBFOX2
22	36536370	36562225	APOL3
22	36585175	36600879	APOL4
22	36622254	36636000	APOL2
22	36649116	36663577	APOL1
22	36677322	36784063	MYH9
22	36682892	36682953	MIR6819
22	36863092	36877687	TXN2
22	36883232	36903148	FOXRED2
22	36906896	36925277	EIF3D
22	36956915	37098690	CACNG2
22	37154245	37172177	IFT27
22	37196744	37215517	PVALB
22	37257029	37274059	NCF4
22	37309674	37336479	CSF2RB
22	37361288	37364213	LL22NC01-81G9.3
22	37387159	37403877	TEX33
22	37406899	37416224	TST
22	37415682	37425863	MPST
22	37447775	37459430	KCTD17
22	37461475	37505603	TMPRSS6
22	37521879	37545962	IL2RB
22	37576205	37584330	C1QTNF6
22	37600276	37608416	SSTR3
22	37621300	37640339	RAC2
22	37678494	37711389	CYTH4
22	37736684	37823505	ELFN2
22	37748230	37750879	LOC100506271
22	37865100	37882478	MFNG
22	37886399	37915210	CARD10
22	37956470	37965410	CDC42EP1
22	37966252	37976024	LGALS2
22	38004480	38029571	GGA1
22	38035683	38052050	SH3BP1
22	38037838	38054384	LOC101927051
22	38054736	38062939	PDXP
22	38071612	38075809	LGALS1
22	38082343	38089485	NOL12
22	38092994	38172563	TRIOBP
22	38201113	38203443	H1F0
22	38203911	38213183	GCAT
22	38219388	38221502	GALR3
22	38226861	38240353	ANKRD54
22	38240278	38240378	MIR658
22	38243684	38243781	MIR659
22	38245378	38284789	EIF3L
22	38302154	38338465	MICALL1
22	38339056	38349676	C22orf23
22	38349673	38365319	POLR2F
22	38363569	38363631	MIR6820
22	38368318	38380539	SOX10
22	38384800	38384860	MIR4534
22	38453261	38471708	PICK1
22	38474143	38479170	SLC16A8
22	38480895	38506676	BAIAP2L2
22	38507501	38577836	PLA2G6
22	38597938	38612517	MAFF
22	38615297	38669040	TMEM184B
22	38686696	38794527	CSNK1E
22	38740669	38794931	LOC400927
22	38822332	38851205	KCNJ4
22	38864066	38879452	KDELR3
22	38879442	38902345	DDX17
22	38914953	38966201	DMC1
22	38974124	39052634	FAM227A
22	39052657	39069855	CBY1
22	39077953	39080766	TOMM22
22	39081547	39096459	JOSD1
22	39101806	39129592	GTPBP1
22	39130718	39152024	SUN2
22	39174512	39190161	DNAL4
22	39214455	39240017	NPTXR
22	39260247	39268258	CBX6
22	39353526	39359188	APOBEC3A
22	39353526	39388783	APOBEC3A_B
22	39378403	39388784	APOBEC3B
22	39387563	39394225	APOBEC3B-AS1
22	39410264	39414825	APOBEC3C
22	39417117	39429256	APOBEC3D
22	39436672	39451975	APOBEC3F
22	39473009	39483748	APOBEC3G
22	39493228	39500072	APOBEC3H
22	39526778	39548538	CBX7
22	39619684	39640957	PDGFB
22	39708886	39715670	RPL3
22	39709823	39709916	SNORD83B
22	39711217	39711312	SNORD83A
22	39712846	39712901	RNU86
22	39715056	39715118	SNORD43
22	39745953	39781593	SYNGR1
22	39795758	39833132	TAB1
22	39828164	39833133	LOC100506472
22	39853324	39888199	MGAT3
22	39898283	39914137	MIEF1
22	39916563	39918691	ATF4
22	39925097	39928860	RPS19BP1
22	39966757	40085740	CACNA1I
22	40139048	40289794	ENTHD1
22	40297085	40369346	GRAP2
22	40390952	40426043	FAM83F
22	40428335	40432581	LOC100130899
22	40440820	40731812	TNRC6B
22	40742503	40762575	ADSL
22	40766594	40806293	SGSM3
22	40806284	41032723	MKL1
22	40917803	40922711	LOC101927257
22	41075181	41078818	MCHR1
22	41165633	41215403	SLC25A17
22	41209886	41209962	MIR4766
22	41220538	41253012	ST13
22	41253084	41328823	XPNPEP3
22	41255553	41258130	DNAJB7
22	41347350	41369019	RBX1
22	41488516	41488570	MIR1281
22	41488613	41576081	EP300
22	41581218	41593505	EP300-AS1
22	41601312	41627275	L3MBTL2
22	41625513	41636935	CHADL
22	41640780	41682255	RANGAP1
22	41648995	41649054	MIR6889
22	41697506	41756151	ZC3H7B
22	41763336	41795332	TEF
22	41829491	41843027	TOB2
22	41855720	41864708	PHF5A
22	41865128	41924993	ACO2
22	41921805	41940610	POLR3H
22	41957013	41972670	CSDC2
22	41972889	41985871	PMM1
22	41994031	42017061	DESI1
22	42017166	42060052	XRCC6
22	42069936	42084913	NHP2L1
22	42086546	42094140	C22orf46
22	42095517	42195459	MEI1
22	42196677	42222303	CCDC134
22	42229082	42303312	SREBF2
22	42296947	42297016	MIR33A
22	42305557	42310671	SHISA8
22	42321035	42322821	TNFRSF13C
22	42334740	42343148	CENPM
22	42348190	42354946	LINC00634
22	42372930	42394225	sep-03
22	42394728	42424477	WBP2NL
22	42454337	42466846	NAGA
22	42470254	42475442	FAM109B
22	42475694	42480288	SMDT1
22	42481529	42486888	NDUFA6
22	42486936	42521354	NDUFA6-AS1
22	42522500	42526883	CYP2D6
22	42522500	42526883	LOC101929829
22	42536213	42540575	CYP2D7P
22	42556018	42611347	TCF20
22	42665758	42670868	LOC388906
22	42776413	42828401	NFAM1
22	42896584	42908566	SERHL
22	42904340	42915829	RRP7A
22	42949867	42970388	SERHL2
22	42969265	42978017	RRP7B
22	42979726	43010968	POLDIP3
22	43011250	43011399	RNU12
22	43013845	43045405	CYB5R3
22	43035808	43036607	ATP5L2
22	43088126	43116876	A4GALT
22	43192531	43253408	ARFGAP3
22	43265771	43411184	PACSIN2
22	43435522	43485434	TTLL1
22	43506753	43525718	BIK
22	43528211	43539403	MCAT
22	43547519	43559248	TSPO
22	43562627	43583137	TTLL12
22	43599228	43739394	SCUBE1
22	43808019	43902800	MPPED1
22	43912133	43932485	EFCAB6-AS1
22	43924623	44208217	EFCAB6
22	44220386	44258378	SULT4A1
22	44275557	44287893	PNPLA5
22	44319618	44343448	PNPLA3
22	44351260	44392412	SAMM50
22	44395090	44565112	PARVB
22	44568835	44604349	PARVG
22	44639556	44708731	KIAA1644
22	44839206	44840668	LOC101927526
22	44888449	44894005	LDOC1L
22	44965219	44968329	LINC00207
22	45002207	45021299	LINC00229
22	45064426	45133561	PRR5
22	45098381	45258664	PRR5-ARHGAP8
22	45148437	45258664	ARHGAP8
22	45277042	45405809	PHF21B
22	45529638	45559662	NUP50-AS1
22	45559725	45583890	NUP50
22	45588122	45636650	KIAA0930
22	45596834	45596900	MIR1249
22	45680867	45691755	UPK3A
22	45705080	45737836	FAM118A
22	45739944	45809500	SMC1B
22	45809571	45828302	RIBC2
22	45898718	45997014	FBLN1
22	46067677	46241187	ATXN10
22	46156403	46156478	MIR4762
22	46316247	46373008	WNT7B
22	46402495	46406657	LOC730668
22	46435786	46440748	LINC00899
22	46446338	46450024	PRR34
22	46449725	46454402	LOC150381
22	46481876	46509808	MIRLET7BHG
22	46486923	46487006	MIR3619
22	46508628	46508702	MIRLET7A3
22	46509445	46509537	MIR4763
22	46509565	46509648	MIRLET7B
22	46546498	46639653	PPARA
22	46639909	46646193	CDPF1
22	46651559	46659219	PKDREJ
22	46663860	46689905	TTC38
22	46691039	46692557	GTSE1-AS1
22	46692637	46726707	GTSE1
22	46731297	46753237	TRMU
22	46756730	46933067	CELSR1
22	47022657	47075688	GRAMD4
22	47080306	47134152	CERK
22	47158513	47571342	TBC1D22A
22	47857047	47882860	LOC101927722
22	48016791	48027318	LINC00898
22	48670175	48670227	MIR3201
22	48885271	49147747	FAM19A5
22	48934711	48943199	LOC284933
22	49176106	49176165	MIR4535
22	49262581	49294198	LINC01310
22	49808173	50051190	C22orf34
22	50166936	50218452	BRD1
22	50171537	50173958	LOC90834
22	50247496	50283726	ZBED4
22	50296853	50312106	ALG12
22	50312277	50321188	CRELD2
22	50354142	50357720	PIM3
22	50356513	50356587	MIR6821
22	50432941	50451055	IL17REL
22	50497819	50524358	MLC1
22	50528434	50600116	MOV10L1
22	50609159	50618724	PANX2
22	50624359	50638027	TRABD
22	50639407	50656045	SELO
22	50656117	50683400	TUBGCP6
22	50683612	50689834	HDAC10
22	50691330	50700089	MAPK12
22	50702141	50708822	MAPK11
22	50713407	50746001	PLXNB2
22	50750391	50765489	DENND6B
22	50781745	50883518	PPP6R2
22	50883430	50913464	SBF1
22	50919984	50924866	ADM2
22	50925212	50928750	MIOX
22	50941375	50946135	LMF2
22	50946644	50963209	NCAPH2
22	50961996	50964868	SCO2
22	50964180	50968514	TYMP
22	50968837	50971008	ODF3B
22	50986461	50989452	KLHDC7B
22	50989540	51001328	SYCE3
22	51007289	51017096	CPT1B
22	51007289	51021428	CHKB-CPT1B
22	51017386	51021428	CHKB
22	51021454	51033710	CHKB-AS1
22	51039113	51049979	MAPK8IP2
22	51061181	51066601	ARSA
22	51113069	51171640	SHANK3
22	51176651	51183727	ACR
22	51195513	51238065	RPL23AP82
22	51205919	51222087	RABL2B
